

,,Filter Size,Logged,Missed
,,0x385,278117,4294734290,45111
,,0x18B,278071,4294734336,45111
,,0x188,277943,4294734464,45111
,,0x18D,278097,4294734308,45109
,,0x18A,277830,4294734577,45111
,,0x189,275890,4294736516,45110
,,0x18C,277124,4294735283,45111
,,0x209,276763,4294735643,45110
,,0x187,251311,4294761092,45107
,,0x18E,277101,4294735306,45111
,,0x207,269302,4294743101,45107
,,0x20B,270909,4294741498,45111
,,0x20D,271800,4294740605,45109
,,0x287,277517,4294734886,45107
,,0x289,277619,4294734787,45110
,,0x28B,277685,4294734722,45111
,,0x28D,277552,4294734853,45109
,,0x307,278055,4294734348,45107
,,0x309,278036,4294734370,45110
,,0x30B,278103,4294734304,45111
,,0x30D,278041,4294734364,45109
,,0x387,278065,4294734338,45107
,,0x389,278131,4294734275,45110
,,0x38B,278133,4294734274,45111
,,0x38D,278127,4294734278,45109
,,0x407,278102,4294734301,45107
,,0x409,278080,4294734326,45110
,,0x40B,278103,4294734304,45111
,,0x40D,278046,4294734359,45109

,,10,1291167,17010
,,0x385,323037,4294689370,45111
,,0x18B,323083,4294689324,45111
,,0x188,322288,4294690119,45111
,,0x18D,323118,4294689287,45109
,,0x18A,322586,4294689821,45111
,,0x189,320914,4294691492,45110
,,0x18C,321468,4294690939,45111
,,0x209,321795,4294690611,45110
,,0x187,296319,4294716084,45107
,,0x18E,321949,4294690458,45111
,,0x207,314292,4294698111,45107
,,0x20B,315502,4294696905,45111
,,0x20D,315843,4294696562,45109
,,0x287,322358,4294690045,45107
,,0x289,322509,4294689897,45110
,,0x28B,322579,4294689828,45111
,,0x28D,322358,4294690047,45109
,,0x307,323045,4294689358,45107
,,0x309,323030,4294689376,45110
,,0x30B,323101,4294689306,45111
,,0x30D,323024,4294689381,45109
,,0x387,323103,4294689300,45107
,,0x389,323170,4294689236,45110
,,0x38B,323179,4294689228,45111
,,0x38D,323175,4294689230,45109
,,0x407,323144,4294689259,45107
,,0x409,323122,4294689284,45110
,,0x40B,323149,4294689258,45111
,,0x40D,323088,4294689317,45109

,,11,1301675,6502
,,0x385,367580,4294644827,45111
,,0x18B,368149,4294644258,45111
,,0x188,366265,4294646142,45111
,,0x18D,368194,4294644211,45109
,,0x18A,366816,4294645591,45111
,,0x189,365996,4294646410,45110
,,0x18C,365356,4294647051,45111
,,0x209,366867,4294645539,45110
,,0x187,341414,4294670989,45107
,,0x18E,366380,4294646027,45111
,,0x207,359389,4294653014,45107
,,0x20B,360582,4294651825,45111
,,0x20D,360563,4294651842,45109
,,0x287,367370,4294645033,45107
,,0x289,367494,4294644912,45110
,,0x28B,367572,4294644835,45111
,,0x28D,367251,4294645154,45109
,,0x307,368123,4294644280,45107
,,0x309,368101,4294644305,45110
,,0x30B,368181,4294644226,45111
,,0x30D,368101,4294644304,45109
,,0x387,368204,4294644199,45107
,,0x389,368269,4294644137,45110
,,0x38B,368281,4294644126,45111
,,0x38D,368279,4294644126,45109
,,0x407,368241,4294644162,45107
,,0x409,368218,4294644188,45110
,,0x40B,368254,4294644153,45111
