

,,Filter Size,Logged,Missed
,,0x70D,89500,4294886814,9018

,,0x385,292289,4294720118,45111
,,0x18B,292228,4294720179,45111
,,0x188,292282,4294720125,45111
,,0x18D,292064,4294720341,45109
,,0x18A,292093,4294720314,45111
,,0x189,288155,4294724251,45110
,,0x18C,291976,4294720431,45111
,,0x209,291107,4294721299,45110
,,0x187,264009,4294748394,45107
,,0x18E,291916,4294720491,45111
,,0x207,284994,4294727409,45107
,,0x20B,285688,4294726719,45111
,,0x20D,286660,4294725745,45109
,,0x287,291750,4294720653,45107
,,0x289,291871,4294720535,45110
,,0x28B,291912,4294720495,45111
,,0x28D,291809,4294720596,45109
,,0x307,292279,4294720124,45107
,,0x309,292263,4294720143,45110
,,0x30B,292265,4294720142,45111
,,0x30D,292259,4294720146,45109
,,0x387,292285,4294720118,45107
,,0x389,292285,4294720121,45110
,,0x38B,292284,4294720123,45111
,,0x38D,292280,4294720125,45109
,,0x407,292274,4294720129,45107
,,0x409,292255,4294720151,45110
,,0x40B,292044,4294720363,45111
,,0x40D,292122,4294720283,45109
,,0x709,98639,4294877675,9018
,,0x70B,98639,4294877675,9018
,,0x707,98566,4294877748,9018
,,0x70D,98518,4294877796,9018

,,0x385,337166,4294675241,45111
,,0x18B,337070,4294675337,45111
,,0x188,337159,4294675248,45111
,,0x18D,336914,4294675491,45109
,,0x18A,336970,4294675437,45111
,,0x189,333027,4294679379,45110
,,0x18C,336853,4294675554,45111
,,0x209,335983,4294676423,45110
,,0x187,308710,4294703693,45107
,,0x18E,336792,4294675615,45111
,,0x207,329533,4294682870,45107
,,0x20B,329650,4294682757,45111
,,0x20D,330365,4294682040,45109
,,0x287,336499,4294675904,45107
,,0x289,336618,4294675788,45110
,,0x28B,336665,4294675742,45111
,,0x28D,336500,4294675905,45109
,,0x307,337134,4294675269,45107
,,0x309,337107,4294675299,45110
,,0x30B,337117,4294675290,45111
,,0x30D,337108,4294675297,45109
,,0x387,337160,4294675243,45107
,,0x389,337158,4294675248,45110
,,0x38B,337160,4294675247,45111
,,0x38D,337157,4294675248,45109
,,0x407,337149,4294675254,45107
,,0x409,337129,4294675277,45110
,,0x40B,336916,4294675491,45111
,,0x40D,336996,4294675409,45109
,,0x709,107657,4294868657,9018
,,0x70B,107657,4294868657,9018
,,0x707,107584,4294868730,9018
,,0x70D,107536,4294868778,9018

,,0x385,382240,4294630167,45111
,,0x18B,382108,4294630299,45111
,,0x188,382233,4294630174,45111
,,0x18D,381960,4294630445,45109
,,0x18A,382044,4294630363,45111
,,0x189,378081,4294634325,45110
,,0x18C,381927,4294630480,45111
,,0x209,381035,4294631371,45110
,,0x187,353752,4294658651,45107
,,0x18E,381866,4294630541,45111
,,0x207,374564,4294637839,45107
,,0x20B,374385,4294638022,45111
,,0x20D,374601,4294637804,45109
,,0x287,381497,4294630906,45107
,,0x289,381583,4294630823,45110
,,0x28B,381609,4294630798,45111
,,0x28D,381371,4294631034,45109
,,0x307,382189,4294630214,45107
,,0x309,382152,4294630254,45110
,,0x30B,382166,4294630241,45111
,,0x30D,382150,4294630255,45109
,,0x387,382228,4294630175,45107
,,0x389,382225,4294630181,45110
,,0x38B,382233,4294630174,45111
,,0x38D,382231,4294630174,45109
,,0x407,382217,4294630186,45107
,,0x409,382197,4294630209,45110
,,0x40B,381989,4294630418,45111
,,0x40D,382067,4294630338,45109
,,0x709,116675,4294859639,9018
,,0x70B,116675,4294859639,9018
,,0x707,116602,4294859712,9018
,,0x70D,116554,4294859760,9018

,,0x385,427347,4294585060,45111
,,0x18B,427175,4294585232,45111
,,0x188,427340,4294585067,45111
,,0x18D,427037,4294585368,45109
,,0x18A,427151,4294585256,45111
,,0x189,423156,4294589250,45110
,,0x18C,427034,4294585373,45111
,,0x209,426104,4294586302,45110
,,0x187,398853,4294613550,45107
,,0x18E,426973,4294585434,45111
,,0x207,419665,4294592738,45107
,,0x20B,419483,4294592924,45111
,,0x20D,419418,4294592987,45109
,,0x287,426597,4294585806,45107
,,0x289,426639,4294585767,45110
,,0x28B,426625,4294585782,45111
,,0x28D,426307,4294586098,45109
,,0x307,427280,4294585123,45107
,,0x309,427242,4294585164,45110
,,0x30B,427253,4294585154,45111
,,0x30D,427234,4294585171,45109
,,0x387,427331,4294585072,45107
,,0x389,427326,4294585080,45110
,,0x38B,427339,4294585068,45111
,,0x38D,427337,4294585068,45109
,,0x407,427318,4294585085,45107
,,0x409,427297,4294585109,45110
,,0x40B,427095,4294585312,45111
,,0x40D,427173,4294585232,45109
,,0x709,125693,4294850621,9018
,,0x70B,125693,4294850621,9018
,,0x707,125620,4294850694,9018
,,0x70D,125572,4294850742,9018

,,0x385,471959,4294540448,45111
,,0x18B,472244,4294540163,45111
,,0x188,471749,4294540658,45111
,,0x18D,472116,4294540289,45109
,,0x18A,471534,4294540873,45111
,,0x189,468225,4294544181,45110
,,0x18C,471366,4294541041,45111
,,0x209,471172,4294541234,45110
,,0x187,443952,4294568451,45107
,,0x18E,471331,4294541076,45111
,,0x207,464770,4294547633,45107
,,0x20B,464585,4294547822,45111
,,0x20D,464521,4294547884,45109
,,0x287,471703,4294540700,45107
,,0x289,471747,4294540659,45110
,,0x28B,471715,4294540692,45111
,,0x28D,471310,4294541095,45109
,,0x307,472384,4294540019,45107
,,0x309,472346,4294540060,45110
,,0x30B,472350,4294540057,45111
,,0x30D,472330,4294540075,45109
,,0x387,472435,4294539968,45107
,,0x389,472428,4294539978,45110
,,0x38B,472448,4294539959,45111
,,0x38D,472445,4294539960,45109
,,0x407,472423,4294539980,45107
,,0x409,472400,4294540006,45110
,,0x40B,472204,4294540203,45111
,,0x40D,472280,4294540125,45109
,,0x709,134711,4294841603,9018
,,0x70B,134711,4294841603,9018
,,0x707,134638,4294841676,9018
,,0x70D,134590,4294841724,9018

,,0x385,515704,4294496703,45111
,,0x18B,517313,4294495094,45111
,,0x188,515431,4294496976,45111
,,0x18D,517195,4294495210,45109
,,0x18A,515161,4294497246,45111
,,0x189,513296,4294499110,45110
,,0x18C,514974,4294497433,45111
,,0x209,516242,4294496164,45110
,,0x187,489034,4294523369,45107
,,0x18E,514946,4294497461,45111
,,0x207,509846,4294502557,45107
,,0x20B,509683,4294502724,45111
,,0x20D,509624,4294502781,45109
,,0x287,516802,4294495601,45107
,,0x289,516856,4294495550,45110
,,0x28B,516826,4294495581,45111
,,0x28D,516388,4294496017,45109
,,0x307,517491,4294494912,45107
,,0x309,517453,4294494953,45110
,,0x30B,517455,4294494952,45111
,,0x30D,517429,4294494976,45109
,,0x387,517541,4294494862,45107
,,0x389,517533,4294494873,45110
,,0x38B,517559,4294494848,45111
,,0x38D,517553,4294494852,45109
,,0x407,517528,4294494875,45107
,,0x409,517504,4294494902,45110
,,0x40B,517315,4294495092,45111
,,0x40D,517388,4294495017,45109
