Time:      204753  ID: 0x30D  Instance:      11 Time dif:    230
Time:      204989  ID: 0x387  Instance:      11 Time dif:    236
Time:      205225  ID: 0x389  Instance:      11 Time dif:    236
Time:      205461  ID: 0x38B  Instance:      11 Time dif:    236
Time:      205695  ID: 0x38D  Instance:      11 Time dif:    234
Time:      205923  ID: 0x407  Instance:      11 Time dif:    228
Time:      206153  ID: 0x409  Instance:      11 Time dif:    230
Time:      206379  ID: 0x40B  Instance:      11 Time dif:    226
Time:      206607  ID: 0x40D  Instance:      11 Time dif:    228
Time:      213753  ID: 0x707  Instance:       3 Time dif:   7146
Time:      220101  ID: 0x187  Instance:      12 Time dif:   6348Expected after 0x209
Time:      220353  ID: 0x18B  Instance:      12 Time dif:    252Expected after 0x385
Time:      220601  ID: 0x189  Instance:      12 Time dif:    248Expected after 0x188
Time:      220849  ID: 0x18D  Instance:      12 Time dif:    248Expected after 0x18C
Time:      221079  ID: 0x207  Instance:      12 Time dif:    230Expected after 0x18E
Time:      221311  ID: 0x209  Instance:      12 Time dif:    232
Time:      221544  ID: 0x20B  Instance:      12 Time dif:    233Expected after 0x18E
Time:      221772  ID: 0x20D  Instance:      12 Time dif:    228
Time:      222008  ID: 0x287  Instance:      12 Time dif:    236
Time:      222244  ID: 0x289  Instance:      12 Time dif:    236
Time:      222480  ID: 0x28B  Instance:      12 Time dif:    236
Time:      222714  ID: 0x28D  Instance:      12 Time dif:    234
Time:      222948  ID: 0x307  Instance:      12 Time dif:    234
Time:      223178  ID: 0x309  Instance:      12 Time dif:    230
Time:      223407  ID: 0x30B  Instance:      12 Time dif:    229
Time:      223635  ID: 0x30D  Instance:      12 Time dif:    228
Time:      223883  ID: 0x385  Instance:      12 Time dif:    248Expected after 0x185
Time:      224121  ID: 0x387  Instance:      12 Time dif:    238Expected after 0x30D
Time:      224363  ID: 0x188  Instance:      12 Time dif:    242Expected after 0x18B
Time:      224599  ID: 0x389  Instance:      12 Time dif:    236Expected after 0x387
Time:      224839  ID: 0x18A  Instance:      12 Time dif:    240Expected after 0x189
Time:      225079  ID: 0x38B  Instance:      12 Time dif:    240Expected after 0x389
Time:      225322  ID: 0x18C  Instance:      12 Time dif:    243Expected after 0x18B
Time:      225556  ID: 0x38D  Instance:      12 Time dif:    234Expected after 0x38B
Time:      225796  ID: 0x18E  Instance:      12 Time dif:    240Expected after 0x18D
Time:      226024  ID: 0x407  Instance:      12 Time dif:    228Expected after 0x38D
Time:      226254  ID: 0x409  Instance:      12 Time dif:    230
Time:      226480  ID: 0x40B  Instance:      12 Time dif:    226
Time:      226708  ID: 0x40D  Instance:      12 Time dif:    228
Time:      239988  ID: 0x385  Instance:      13 Time dif:  13280
Time:      240236  ID: 0x187  Instance:      13 Time dif:    248Expected after 0x185
Time:      240478  ID: 0x188  Instance:      13 Time dif:    242Expected after 0x18B
Time:      240726  ID: 0x189  Instance:      13 Time dif:    248
Time:      240968  ID: 0x18A  Instance:      13 Time dif:    242
Time:      241220  ID: 0x18B  Instance:      13 Time dif:    252Expected after 0x385
Time:      241462  ID: 0x18C  Instance:      13 Time dif:    242Expected after 0x38B
Time:      241710  ID: 0x18D  Instance:      13 Time dif:    248
Time:      241952  ID: 0x18E  Instance:      13 Time dif:    242
Time:      242183  ID: 0x207  Instance:      13 Time dif:    231
Time:      242417  ID: 0x209  Instance:      13 Time dif:    234
Time:      242647  ID: 0x20B  Instance:      13 Time dif:    230Expected after 0x18E
Time:      242877  ID: 0x20D  Instance:      13 Time dif:    230
Time:      243113  ID: 0x287  Instance:      13 Time dif:    236
Time:      243349  ID: 0x289  Instance:      13 Time dif:    236
Time:      243585  ID: 0x28B  Instance:      13 Time dif:    236
Time:      243819  ID: 0x28D  Instance:      13 Time dif:    234
Time:      244051  ID: 0x307  Instance:      13 Time dif:    232
Time:      244281  ID: 0x309  Instance:      13 Time dif:    230
Time:      244509  ID: 0x30B  Instance:      13 Time dif:    228
Time:      244741  ID: 0x30D  Instance:      13 Time dif:    232
Time:      244977  ID: 0x387  Instance:      13 Time dif:    236
Time:      245211  ID: 0x389  Instance:      13 Time dif:    234
Time:      245447  ID: 0x38B  Instance:      13 Time dif:    236
Time:      245681  ID: 0x38D  Instance:      13 Time dif:    234
Time:      245910  ID: 0x407  Instance:      13 Time dif:    229
Time:      246140  ID: 0x409  Instance:      13 Time dif:    230
Time:      246366  ID: 0x40B  Instance:      13 Time dif:    226
Time:      246594  ID: 0x40D  Instance:      13 Time dif:    228
Time:      246708  ID: 0x709  Instance:       3 Time dif:    114
Time:      259985  ID: 0x385  Instance:      14 Time dif:  13277
Time:      260252  ID: 0x188  Instance:      14 Time dif:    267Expected after 0x18B
Time:      260516  ID: 0x18A  Instance:      14 Time dif:    264Expected after 0x189
Time:      260764  ID: 0x189  Instance:      14 Time dif:    248Expected after 0x188
Time:      261006  ID: 0x18C  Instance:      14 Time dif:    242Expected after 0x18B
Time:      261254  ID: 0x187  Instance:      14 Time dif:    248Expected after 0x385
Time:      261502  ID: 0x18D  Instance:      14 Time dif:    248Expected after 0x18C
Time:      261743  ID: 0x18E  Instance:      14 Time dif:    241
Time:      261973  ID: 0x207  Instance:      14 Time dif:    230
Time:      262205  ID: 0x209  Instance:      14 Time dif:    232
Time:      262457  ID: 0x18B  Instance:      14 Time dif:    252Expected after 0x385
Time:      262691  ID: 0x20D  Instance:      14 Time dif:    234Expected after 0x20B
Time:      262925  ID: 0x20B  Instance:      14 Time dif:    234Expected after 0x18E
Time:      263161  ID: 0x287  Instance:      14 Time dif:    236Expected after 0x20D
Time:      263397  ID: 0x289  Instance:      14 Time dif:    236
Time:      263633  ID: 0x28B  Instance:      14 Time dif:    236
Time:      263867  ID: 0x28D  Instance:      14 Time dif:    234
Time:      264099  ID: 0x307  Instance:      14 Time dif:    232
Time:      264327  ID: 0x309  Instance:      14 Time dif:    228
Time:      264555  ID: 0x30B  Instance:      14 Time dif:    228
Time:      264789  ID: 0x30D  Instance:      14 Time dif:    234
Time:      265027  ID: 0x387  Instance:      14 Time dif:    238
